class_name,test,train,val,total
鳖甲,189,1512,189,1890
水红花子,156,1241,155,1552
穿山甲,154,1225,153,1532
远志,147,1176,147,1470
干姜,143,1144,143,1430
阿胶,143,1144,143,1430
陈皮,140,1120,140,1400
巴戟天,139,1112,139,1390
沉香,139,1103,137,1379
竹茹,136,1088,136,1360
艾叶,135,1080,135,1350
大血藤,132,1056,132,1320
百合,132,1056,132,1320
柴胡,131,1048,131,1310
枸杞,131,1048,131,1310
地龙,131,1048,131,1310
木香,130,1040,130,1300
小茴香,130,1040,130,1300
百部,130,1040,130,1300
蝉蜕,128,1024,128,1280
白矾,128,1012,126,1266
白扁豆,125,1000,125,1250
白豆蔻,125,1000,125,1250
白芍,123,984,123,1230
白头翁,123,984,123,1230
北沙参块,122,976,122,1220
乌梅,122,976,122,1220
百花蛇舌草,121,968,121,1210
赤芍,120,960,120,1200
枳实,120,960,120,1200
柏子仁,117,936,117,1170
半夏,116,928,116,1160
薏苡仁,116,928,116,1160
草果,115,920,115,1150
虫草,113,904,113,1130
侧柏叶,112,896,112,1120
泽兰,111,888,111,1110
板蓝根,111,888,111,1110
桃仁,110,880,110,1100
夏枯草,110,880,110,1100
北沙参条,110,880,110,1100
草豆蔻,110,880,110,1100
赤石脂,110,880,110,1100
苍术,109,872,109,1090
白术,109,872,109,1090
白茅根,107,856,107,1070
知母,107,856,107,1070
紫苑,107,856,107,1070
紫草,107,856,107,1070
紫花地丁,100,800,100,1000
