split,class_name,count
train,乌梅,976
train,侧柏叶,896
train,北沙参块,976
train,北沙参条,880
train,半夏,928
train,地龙,1048
train,夏枯草,940
train,大血藤,1056
train,小茴香,1040
train,巴戟天,1175
train,干姜,1144
train,木香,1040
train,板蓝根,888
train,枳实,960
train,枸杞,1112
train,柏子仁,936
train,柴胡,1048
train,桃仁,997
train,水红花子,1241
train,沉香,1103
train,泽兰,888
train,白头翁,1056
train,白扁豆,1086
train,白术,958
train,白矾,1012
train,白芍,1069
train,白茅根,965
train,白豆蔻,1000
train,百合,1125
train,百花蛇舌草,968
train,百部,1040
train,知母,856
train,穿山甲,1225
train,竹茹,1088
train,紫花地丁,800
train,紫苑,902
train,紫草,856
train,艾叶,1080
train,苍术,872
train,草果,996
train,草豆蔻,880
train,薏苡仁,988
train,虫草,904
train,蝉蜕,1090
train,赤石脂,880
train,赤芍,960
train,远志,1176
train,阿胶,1144
train,陈皮,1211
train,鳖甲,1512
val,乌梅,122
val,侧柏叶,112
val,北沙参块,122
val,北沙参条,110
val,半夏,116
val,地龙,131
val,夏枯草,118
val,大血藤,132
val,小茴香,130
val,巴戟天,148
val,干姜,143
val,木香,130
val,板蓝根,111
val,枳实,120
val,枸杞,140
val,柏子仁,117
val,柴胡,131
val,桃仁,126
val,水红花子,155
val,沉香,137
val,泽兰,111
val,白头翁,133
val,白扁豆,137
val,白术,121
val,白矾,126
val,白芍,135
val,白茅根,122
val,白豆蔻,125
val,百合,141
val,百花蛇舌草,121
val,百部,130
val,知母,107
val,穿山甲,153
val,竹茹,136
val,紫花地丁,100
val,紫苑,113
val,紫草,107
val,艾叶,135
val,苍术,109
val,草果,125
val,草豆蔻,110
val,薏苡仁,124
val,虫草,113
val,蝉蜕,137
val,赤石脂,110
val,赤芍,120
val,远志,147
val,阿胶,143
val,陈皮,153
val,鳖甲,189
test,乌梅,122
test,侧柏叶,112
test,北沙参块,122
test,北沙参条,110
test,半夏,116
test,地龙,131
test,夏枯草,110
test,大血藤,132
test,小茴香,130
test,巴戟天,139
test,干姜,143
test,木香,130
test,板蓝根,111
test,枳实,120
test,枸杞,131
test,柏子仁,117
test,柴胡,131
test,桃仁,110
test,水红花子,156
test,沉香,139
test,泽兰,111
test,白头翁,123
test,白扁豆,125
test,白术,109
test,白矾,128
test,白芍,123
test,白茅根,107
test,白豆蔻,125
test,百合,132
test,百花蛇舌草,121
test,百部,130
test,知母,107
test,穿山甲,154
test,竹茹,136
test,紫花地丁,100
test,紫苑,107
test,紫草,107
test,艾叶,135
test,苍术,109
test,草果,115
test,草豆蔻,110
test,薏苡仁,116
test,虫草,113
test,蝉蜕,128
test,赤石脂,110
test,赤芍,120
test,远志,147
test,阿胶,143
test,陈皮,140
test,鳖甲,189
external_test_dataset2_overlap,夏枯草,18
external_test_dataset2_overlap,巴戟天,19
external_test_dataset2_overlap,枸杞,19
external_test_dataset2_overlap,桃仁,35
external_test_dataset2_overlap,白头翁,22
external_test_dataset2_overlap,白扁豆,26
external_test_dataset2_overlap,白术,26
external_test_dataset2_overlap,白芍,25
external_test_dataset2_overlap,白茅根,33
external_test_dataset2_overlap,百合,21
external_test_dataset2_overlap,紫苑,14
external_test_dataset2_overlap,草果,23
external_test_dataset2_overlap,薏苡仁,18
external_test_dataset2_overlap,蝉蜕,20
external_test_dataset2_overlap,陈皮,27
