,precision,recall,f1-score,support
乌梅,0.7575757575757576,0.819672131147541,0.7874015748031497,122.0
侧柏叶,0.6201550387596899,0.7142857142857143,0.6639004149377593,112.0
北沙参块,0.6376811594202898,0.7213114754098361,0.676923076923077,122.0
北沙参条,0.7542372881355932,0.8090909090909091,0.7807017543859649,110.0
半夏,0.7073170731707317,0.75,0.7280334728033473,116.0
地龙,0.6181818181818182,0.7786259541984732,0.6891891891891891,131.0
夏枯草,0.6931818181818182,0.5545454545454546,0.6161616161616161,110.0
大血藤,0.8547008547008547,0.7575757575757576,0.8032128514056225,132.0
小茴香,0.7446808510638298,0.5384615384615384,0.625,130.0
巴戟天,0.7171717171717171,0.5107913669064749,0.5966386554621849,139.0
干姜,0.6141732283464567,0.5454545454545454,0.5777777777777777,143.0
木香,0.6666666666666666,0.5538461538461539,0.6050420168067226,130.0
板蓝根,0.5643564356435643,0.5135135135135135,0.5377358490566038,111.0
枳实,0.5197368421052632,0.6583333333333333,0.5808823529411765,120.0
枸杞,0.9696969696969697,0.9770992366412213,0.973384030418251,131.0
柏子仁,0.7768595041322314,0.8034188034188035,0.7899159663865546,117.0
柴胡,0.5421686746987951,0.3435114503816794,0.4205607476635514,131.0
桃仁,0.75,0.7636363636363637,0.7567567567567568,110.0
水红花子,0.9261744966442953,0.8846153846153846,0.9049180327868852,156.0
沉香,0.5985915492957746,0.6115107913669064,0.604982206405694,139.0
泽兰,0.6808510638297872,0.5765765765765766,0.624390243902439,111.0
白头翁,0.6818181818181818,0.4878048780487805,0.5687203791469194,123.0
白扁豆,0.5761589403973509,0.696,0.6304347826086957,125.0
白术,0.6581196581196581,0.7064220183486238,0.6814159292035398,109.0
白矾,0.8776978417266187,0.953125,0.9138576779026217,128.0
白芍,0.7685185185185185,0.6747967479674797,0.7186147186147186,123.0
白茅根,0.7766990291262136,0.7476635514018691,0.7619047619047619,107.0
白豆蔻,0.5945945945945946,0.704,0.6446886446886447,125.0
百合,0.6982248520710059,0.8939393939393939,0.7840531561461794,132.0
百花蛇舌草,0.7723577235772358,0.7851239669421488,0.7786885245901639,121.0
百部,0.6782608695652174,0.6,0.636734693877551,130.0
知母,0.6,0.5607476635514018,0.5797101449275363,107.0
穿山甲,0.6095238095238096,0.8311688311688312,0.7032967032967034,154.0
竹茹,0.890625,0.8382352941176471,0.8636363636363636,136.0
紫花地丁,0.7205882352941176,0.49,0.5833333333333334,100.0
紫苑,0.8260869565217391,0.7102803738317757,0.7638190954773869,107.0
紫草,0.8018867924528302,0.794392523364486,0.7981220657276995,107.0
艾叶,0.6073619631901841,0.7333333333333333,0.6644295302013423,135.0
苍术,0.6354166666666666,0.5596330275229358,0.5951219512195122,109.0
草果,0.6475409836065574,0.6869565217391305,0.6666666666666666,115.0
草豆蔻,0.7934782608695652,0.6636363636363637,0.7227722772277227,110.0
薏苡仁,0.6991150442477876,0.6810344827586207,0.6899563318777293,116.0
虫草,0.6692913385826772,0.7522123893805309,0.7083333333333334,113.0
蝉蜕,0.7796610169491526,0.71875,0.7479674796747967,128.0
赤石脂,0.8316831683168316,0.7636363636363637,0.7962085308056872,110.0
赤芍,0.5564516129032258,0.575,0.5655737704918032,120.0
远志,0.6333333333333333,0.7755102040816326,0.6972477064220184,147.0
阿胶,0.6850828729281768,0.8671328671328671,0.7654320987654321,143.0
陈皮,0.6375,0.7285714285714285,0.68,140.0
鳖甲,0.8253012048192772,0.7248677248677249,0.7718309859154929,189.0
accuracy,0.7012195121951219,0.7012195121951219,0.7012195121951219,0.7012195121951219
macro avg,0.7049307455428486,0.6977970280749911,0.6965216044931737,6232.0
weighted avg,0.7061461857275027,0.7012195121951219,0.6987154202962481,6232.0
