train_loss,train_acc,val_loss,val_acc
3.0925125186077684,0.2150634674618901,3.2709818525720658,0.21052631578947367
2.6453536073660704,0.3403503953228306,3.22380064424118,0.24655388471177944
2.3388110312641675,0.44884346000667047,2.2162018664797447,0.48449248120300753
2.0727331794051285,0.5467815032077064,2.2085677134363273,0.5101817042606517
1.9037676123976275,0.6128582919699437,1.823824511733569,0.6224937343358395
1.787767496812697,0.6511741970924644,1.8286323129085071,0.630795739348371
1.6964528373116095,0.6858213493947539,1.7820493690949633,0.6488095238095238
1.6223209594062278,0.7143669929960174,1.512639990426544,0.7454573934837093
1.5578786590194709,0.7388907417943537,1.4712005671403163,0.7523496240601504
1.5060062417895883,0.7599026897647682,1.42574299547009,0.781328320802005
1.4578049409471587,0.7786780718447744,1.3942458330838006,0.7799185463659147
1.4170947813051757,0.7925487041651135,1.337986925789587,0.8070175438596491
1.3795335960487347,0.80704714445469,1.3533053897078473,0.8056077694235589
1.3511421022695627,0.8178375939259579,1.2656889403971814,0.8356829573934837
1.3294632961441735,0.8240960546192934,1.3308069090496628,0.8292606516290727
1.3015842107978002,0.8360244060348041,1.209501944687731,0.8616854636591479
1.2715850236573918,0.8464224755252987,1.2332320135637633,0.8485275689223057
1.2548175236692853,0.8538776951599929,1.2059020028078467,0.868577694235589
1.2423267560467235,0.857193305997528,1.202960867630808,0.8582393483709273
1.2171696802873355,0.8661003315610838,1.1489111364335942,0.8862781954887218
1.2002249883325167,0.8731239332169273,1.2463735736402355,0.8347431077694235
1.1941620461368376,0.8746934531400208,1.153145456821996,0.8828320802005013
1.1731608125442254,0.8823841007631791,1.1963933069903152,0.8598057644110275
1.0742096469718094,0.9195817229404956,0.99322426692585,0.931234335839599
1.05972968005032,0.9228580957799533,0.9969303790190465,0.9375
1.0493530569169902,0.9277432265405819,0.9951144404578627,0.9411027568922306
1.0430773705573246,0.9298228404386808,0.9962345409512818,0.931077694235589
0.9895445607366234,0.9492456494869632,0.9186720023477885,0.962562656641604
0.9811789035254526,0.9516587863687195,0.9188063621222226,0.9592731829573935
0.9766636751980249,0.9532479252908517,0.9141041657380891,0.9638157894736842
0.9707920751638824,0.9541896372447077,0.9192250699626473,0.9619360902255639
0.9669108468197903,0.9565831551274254,0.9095190273490465,0.962875939849624
0.9637628912666117,0.956014204155304,0.9130111460697681,0.9609962406015038
0.9592503584078381,0.9578191520668615,0.902552824868893,0.9635025062656641
0.9519374021876494,0.9600164799591925,0.9259553251409889,0.9627192982456141
